# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Aug 12 18:25:49 BST 2021 [seed=1628789148168]
# B.1.1.33.dataset.aln.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
1425000	-47287.41306681077	-464.8907221150729	-46822.522344695695	0.5209471388592467	2020.0582878338182	25.539803157797394	73.12858687061653	12.14565098518574	7.3127882660991474	4.016179758385238	0.2897760923718154	0.18552174478305405	0.19275343507490011	0.33194872777023027	0.029236913645083924	0.0863811936339933	0.9624782640441737	1.0750510011051795	0.0010084836898996091	0.0010084836898996098	-46822.522344695695	0.0	-449.3907840669663
1426000	-47290.11917222565	-461.41639125525865	-46828.70278097039	0.5022898285856474	2020.076945144092	25.392455645705148	64.12553942229205	11.997003878415066	7.244867291821317	5.842465021330729	0.2926292301467806	0.18336155285972036	0.1949136269982338	0.32909558999526506	0.029236913645083924	0.05247654949551891	1.0056141288275657	0.9887706158015069	0.001041004394854811	0.001041004394854812	-46828.70278097039	0.0	-445.76608608089424
1427000	-47287.29073508277	-455.077861970491	-46832.21287311228	0.5357192126426168	2020.043515760035	25.127134960519253	80.91906433236599	12.802158808566878	7.078586929818829	8.300940757018317	0.2939100901196042	0.1820806928868968	0.1949136269982338	0.32909558999526506	0.10559058466728893	0.030899812575493145	1.050039880953563	0.8999101969810113	0.0010018749739305053	0.0010018749739305046	-46832.21287311228	0.0	-437.7551763435252
1428000	-47293.90422200651	-454.12710852681556	-46839.77711347969	0.5615930755489694	2020.0176418971287	24.90599391270154	68.65130850594849	12.166571389387466	6.854738361909315	8.890633092137959	0.2962292699897767	0.17976151301672424	0.19189534320104085	0.332113873792458	0.13112488363075814	0.04039634061999176	1.002706468320339	0.9945865202734717	0.0010474441882717183	0.0010474441882717205	-46839.77711347969	0.0	-437.4666740250957
1429000	-47284.93583508148	-456.3767294490049	-46828.55910563248	0.5242040903629903	2020.0550308823147	25.078575520813327	69.75311024985437	12.571667777840005	6.738400744866337	5.816967115654184	0.2962292699897767	0.17624812971049914	0.19564808270308398	0.33187451759664	0.10262004604705083	0.04039634061999176	0.9965298439900702	1.0069410083489456	0.0010030931179526971	0.0010030931179526971	-46828.55910563248	0.0	-440.06780192319223
1430000	-47294.40639176041	-458.8590916726103	-46835.5473000878	0.5720518134049415	2020.0071831592727	25.067301076151576	64.76577564602715	12.180877862855393	6.738400744866337	6.405694126346481	0.2940372517637255	0.18373997986200857	0.18986265757824905	0.3323601107960167	0.022708032083268548	0.037798483376120136	0.9952605165964207	1.0094799178422529	0.0010082584503718311	0.0010082584503718311	-46835.5473000878	0.0	-443.0338348976531
1431000	-47306.748312545315	-463.932839985159	-46842.815472560156	0.5843178751326747	2019.9949170975449	24.73825377475411	67.87199644036743	11.876944401355386	5.922335984199177	11.086053828815302	0.2940631545681111	0.183714077057623	0.19606466870651856	0.32615809966774717	0.048803748603115434	0.037798483376120136	1.0140126104613805	0.9719719672762013	0.0010128391186062938	0.0010128391186062942	-46842.815472560156	0.0	-447.5655601777701
1432000	-47303.22140828216	-470.4403119167549	-46832.781096365405	0.6414866580064487	2019.9377483146711	25.154771229929818	63.26148376174181	11.472942910116421	5.888774805952027	11.141462575764887	0.2940631545681111	0.183714077057623	0.19606466870651856	0.32615809966774717	0.03366149991705322	0.03154716164066078	1.0014021847953152	0.9971953490439028	0.0010012294276059445	0.0010012294276059439	-46832.781096365405	0.0	-454.5891937780966
1433000	-47304.20242055864	-459.23179450510196	-46844.97062605354	0.5552398541764842	2020.023995118501	24.959467800014874	62.31351960749367	11.942781859544729	5.698306838097585	11.141462575764887	0.295343764245867	0.18581692944016232	0.19268120664622332	0.32615809966774717	0.06497570661259147	0.12355523556092264	1.0391510342337633	0.9216900754003889	0.0010014704818786465	0.0010014704818786468	-46844.97062605354	0.0	-442.72809091817567
1434000	-47302.53123140816	-455.57932838371727	-46846.95190302444	0.5458613683380185	2020.0333736043397	24.982744021871376	70.50510292445642	12.67395640335424	6.9032630874860565	5.171109226931673	0.2926068067887855	0.18608225290043884	0.19515284064302832	0.32615809966774717	0.005584826410374219	0.12355523556092264	1.007341415008214	0.9853156968391921	0.0010029755555196066	0.0010029755555196072	-46846.95190302444	0.0	-439.31730272192493
